"iso","stable","loss","gain","disturb","net","change","gfw_area__ha"
"BGR",4005034.475000000093132,46473.937660000003234,106351.224199999996927,204540.157799999986310,59877.286560000000463,1.406870007514954,11158767.1176869
"BHR",55.039280040000001,0E-15,62.252465100000002,0E-15,62.252465100000002,113.105003356933594,71512.548238655
"BHS",81747.319839999996475,10598.898839999999836,6316.442552000000433,12403.699239999999918,-4282.456283999999869,-4.088260173797607,1338807.9914193
"BIH",2796590.726999999955297,31762.048869999998715,53275.762970000003406,49758.207770000000892,21513.714100000001054,0.747494995594025,5106885.31171796
"BLM",676.777199600000017,30.492836900000000,2.565391504000000,3.005307074000000,-27.927445389999999,-3.931920051574707,2470.77717005131
"BLR",7407088.671000000089407,442151.519800000009127,963621.330300000030547,683220.800700000021607,521469.810500000021420,6.111599922180176,20706980.8334169
"BLZ",1254065.068999999901280,152882.665999999997439,18602.464090000001306,195407.813800000003539,-134280.201899999985471,-8.380149841308594,2198944.89750421
"BMU",0E-15,0E-15,0E-15,0E-15,0E-15,"",6806.27400643133
"BOL",52561114.219999998807907,3941665.135999999940395,617221.733000000007451,2706922.117999999783933,-3324443.402999999932945,-5.614689826965332,108339299.211545
"BRA",413722809.300000011920929,36141245.770000003278255,8062324.946000000461936,23421628.859999999403954,-28078920.829999998211861,-5.932759761810303,850036547.481532
"BRB",7200.010790999999699,222.754092299999996,376.695274400000017,203.406370100000004,153.941182099999992,2.018589973449707,43463.9641175888
"BRN",484942.584800000011455,10606.027930000000197,7531.553715000000011,28194.881000000001222,-3074.474213999999847,-0.587018013000488,577779.930063346
"BTN",2895401.964000000152737,13679.449800000000323,28220.642260000000533,51832.544730000001437,14541.192460000000210,0.491106003522873,3876298.93951111
"BWA",164360.489399999991292,14571.473949999999604,13303.392830000000686,302.677164300000015,-1268.081120000000055,-0.707495987415314,57787082.3025846
"CAF",53227478.200000002980232,1210279.388000000035390,482448.854500000015832,785267.128900000010617,-727830.533199999947101,-1.317980051040649,62019966.6957622
"CAN",257102961.500000000000000,25165466.410000000149012,16965284.910000000149012,14863606.529999999329448,-8200181.504999999888241,-2.759779930114746,995519376.074993
"CHE",1523090.726000000024214,27521.906050000001414,15072.541639999999461,71105.463969999997062,-12449.364410000000134,-0.767664015293121,4124571.17499841
"CHL",15702009.869999999180436,746166.352100000018254,731816.047000000020489,1798848.114999999990687,-14350.305179999999382,-0.078644700348377,75758031.1314383
"CHN",202215007.599999994039536,4544793.469999999739230,6689645.412999999709427,17176985.640000000596046,2144851.942999999970198,0.957792997360229,938225139.900919
"CIV",16844645.399999998509884,2530533.348999999929219,881678.966999999945983,4377647.841000000014901,-1648854.381999999983236,-6.941730022430420,32165807.2068038
"CMR",33948994.880000002682209,976901.787499999976717,351062.955100000021048,1672205.914000000106171,-625838.832399999955669,-1.710029959678650,46604003.7678564
"COD",146862160.800000011920929,7593082.769999999552965,1591178.080000000074506,14566288.789999999105930,-6001904.690000000409782,-3.550960063934326,232913005.721967
"COG",22820170.480000000447035,444820.927099999971688,113139.362800000002608,830609.051199999987148,-331681.564300000027288,-1.376520037651062,34173218.7077241
"COL",73177488.349999994039536,2825977.169999999925494,1085199.828999999910593,3286546.498999999836087,-1740777.341000000014901,-2.195460081100464,113675882.143972
"COM",122676.025299999993877,2428.118256000000201,81.774210800000006,9591.551036999999269,-2346.344046000000162,-1.741960048675537,167314.999276359
"CPV",0E-15,0E-15,0E-15,0E-15,0E-15,"",409095.248907761
"CRI",3501690.481000000145286,149651.436199999996461,57877.238559999997960,213550.399200000014389,-91774.197650000001886,-2.374560117721558,5117680.31997091
"CUB",3014135.495000000111759,170192.973700000002282,164351.087300000013784,318511.661800000001676,-5841.886383000000023,-0.166776001453400,11073065.3746317
"CUW",5269.000307999999677,78.012646119999999,175.919073200000014,11.135145809999999,97.906427070000007,1.827239990234375,43771.1431126868
"CYM",4476.544149000000289,272.758394399999986,496.934120300000018,199.685188500000010,224.175725999999997,4.529729843139648,28040.760985863
"CYP",139986.230000000010477,2177.945867999999791,3222.200326000000132,2208.940905999999814,1044.254458999999997,0.723303020000458,571965.580725408
"CZE",2621612.774000000208616,152439.823600000003353,77300.148960000005900,526622.239500000025146,-75139.674679999996442,-2.276499986648560,7883578.54203678
"DEU",11675410.949999999254942,344276.373800000001211,342764.001099999994040,1086578.557999999960884,-1512.372724000000062,-0.011539299972355,35783935.1133396
"DJI",32.974893160000001,2.260212537000000,1.430201300000000,0E-15,-0.830011237000000,-2.355639934539795,2186344.92995705
"DMA",45271.823530000001483,1056.108116000000109,79.949359299999998,25049.943019999998796,-976.158756300000050,-1.367589950561523,75421.4293463207
"DNK",417061.213300000003073,55388.413249999997788,95181.873519999993732,65361.188820000003034,39793.460270000003220,7.399149894714355,4314484.68647839
"DOM",2264165.131000000052154,122957.263000000006286,54804.574979999997595,291468.122499999997672,-68152.688009999998030,-2.544349908828735,4809209.2339254
"DZA",1457267.941000000108033,64038.112029999996594,89151.777419999998529,240360.568499999993946,25113.665389999998297,1.425559997558594,230804982.332597
"ECU",17081252.460000000894070,494949.073099999979604,218567.531300000002375,899419.467100000008941,-276381.541800000006333,-1.495929956436157,25611561.9289089
"EGY",16370.504600000000210,2044.739685000000009,4206.152680000000146,15.305811410000000,2161.412993999999799,11.727299690246582,98376418.4656743
"ERI",57161.772109999998065,7.356795319000000,10676.066580000000613,121.098871700000004,10668.709779999999228,18.622200012207031,12045741.3968309
"ESH",0.070589496000000,0E-15,0.846848157000000,0E-15,0.846848157000000,1199.680053710937500,26733487.9148739
"ESP",11431831.429999999701977,348144.446200000005774,381025.389699999999721,1239765.560000000055879,32880.943500000001222,0.252548009157181,50604375.857333
"EST",1932398.049000000115484,237544.703399999998510,165132.219500000006519,371179.061500000010710,-72412.483940000005532,-2.849630117416382,4548988.73280992
"ETH",18890508.719999998807907,1141912.662000000011176,403581.931600000010803,406015.469299999997020,-738330.730600000009872,-3.612469911575317,112952077.877939
"FIN",16589946.980000000447035,1728477.533000000054017,1357034.206000000005588,3174829.637999999802560,-371443.327700000023469,-1.728180050849915,33694010.1867756
"FJI",1107681.074999999953434,26886.196449999999459,5409.634482000000389,37415.570650000001478,-21476.561969999998837,-1.832499980926514,1896347.67668122
"FLK",0E-15,0E-15,0E-15,0E-15,0E-15,"",1239737.23388058
"FRA",15762841.500000000000000,704313.698899999959394,695650.863000000012107,1223707.566000000108033,-8662.835918999999194,-0.048967801034451,54951621.8849027
"FRO",0E-15,0E-15,0E-15,0E-15,0E-15,"",143961.446009783
"FSM",0E-15,0E-15,0E-15,0E-15,0E-15,"",77485.664065212
"GAB",23270672.309999998658895,148991.230600000009872,50031.066590000002179,521335.409700000018347,-98960.164009999993141,-0.413349986076355,26454983.6269715
"GBR",2421686.652999999932945,391562.606099999975413,473125.769299999985378,184814.743599999987055,81563.163180000003194,2.720530033111572,24548583.9946319
"GEO",3238385.424999999813735,17955.317970000000059,93537.293969999998808,7227.517383000000336,75581.975999999995111,2.315929889678955,6984461.12332441
"GGY",1774.353859999999941,36.005510520000001,78.858132049999995,4.535325275000000,42.852621530000000,2.361170053482056,8845.12851174648
"GHA",8669047.985999999567866,884921.159600000013597,312123.986800000013318,1689032.583000000100583,-572797.172799999942072,-5.094699859619141,23832427.1212086
"GIB",144.199596799999995,1.061191327000000,0.561790680000000,0.124845825000000,-0.499400647000000,-0.343499988317490,720.81338921733
"GIN",14569792.289999999105930,1862332.280999999959022,272657.233499999972992,2620487.833999999798834,-1589675.047000000020489,-8.343609809875488,24481617.4014539
"GLP",90314.587780000001658,2033.174279999999953,1509.217278999999962,2435.976102999999966,-523.957001099999957,-0.552792012691498,165023.69670277
"GMB",201174.829900000011548,21082.319049999998242,15326.757190000000264,4785.290154999999686,-5755.561866000000009,-2.535020112991333,1067050.52347717
"GNB",1880123.879999999888241,223318.136200000008103,43268.880349999999453,251215.645400000008522,-180049.255899999989197,-7.646510124206543,3388227.91109108
"GNQ",2448327.010999999940395,44547.664239999998244,5166.852109999999811,142302.504599999985658,-39380.812129999998433,-1.494429945945740,2695941.24754932
"GRC",4598100.059000000357628,90399.351439999998547,71537.470430000001215,227256.476300000009360,-18861.881010000000970,-0.383702009916306,13257480.2223044
"GRD",26406.912739999999758,674.626404399999956,85.031511190000003,2324.867408000000069,-589.594893200000001,-2.004990100860596,35953.0958739884
"GTM",5808934.440999999642372,760663.679200000013225,291032.665399999998044,1205652.554999999934807,-469631.013800000015181,-6.040080070495605,10915281.0298948
"GUF",7946900.217000000178814,32797.179309999999532,10102.616589999999633,57454.370119999999588,-22694.562720000001718,-0.282371014356613,8330094.90646966
"GUY",18303217.149999998509884,97833.759940000003553,30502.251339999998891,184827.368099999992410,-67331.508600000001024,-0.362271994352341,20974406.5660456
"HKG",70404.093129999993835,762.103018300000031,676.048966700000051,1352.202477000000044,-86.054051590000000,-0.118665002286434,112928.000032317
"HND",6898082.385999999940395,392905.010699999984354,137965.426500000001397,1203472.936999999918044,-254939.584200000012061,-3.001250028610229,11228974.1064553
"HRV",2371445.722000000067055,65944.740520000006654,59572.844250000001921,100864.396099999998114,-6371.896271999999954,-0.251035004854202,5707857.57401441
"HTI",1091792.770000000018626,17274.051360000001296,13832.450609999999870,69415.612290000004577,-3441.600754000000052,-0.292037010192871,2710674.97630783
"HUN",1677658.310000000055879,122671.765199999994365,207301.833600000012666,249845.291100000002189,84630.068450000006123,4.127930164337158,9305287.2537369
"IDN",124187188.599999994039536,9000754.243000000715256,4882137.053000000305474,24056932.800000000745058,-4118617.189999999944121,-2.619240045547485,189024478.603848
"IMN",5582.411879000000226,1144.651722000000063,999.793022999999948,177.465296400000000,-144.858698599999997,-2.098020076751709,57967.2897176517
"IND",59241391.750000000000000,1007623.993000000016764,1881691.828999999910593,6171562.906999999657273,874067.836600000038743,1.315960049629211,315280002.901119
"IRL",388037.844199999992270,94639.678570000003674,284264.539099999994505,77309.854890000002342,189624.860500000009779,33.862400054931641,7036676.6333273
"IRN",1897089.625000000000000,18027.518980000000738,49762.628170000003593,2490.701450999999906,31735.109199999998964,1.654929995536804,162174073.494171
"IRQ",28631.257779999999912,553.175548499999991,9456.878192000000126,5.048216217000000,8903.702643000000535,30.503099441528320,44514841.6554415
"ISL",0E-15,0E-15,0E-15,0E-15,0E-15,"",10222449.4223868
"ISR",56109.831050000000687,2379.467980999999781,5317.699141000000054,1971.904565000000048,2938.231159999999818,4.859700202941895,2215865.05747724
"ITA",9262565.302999999374151,219582.124000000010710,189387.311300000001211,600229.135099999955855,-30194.812770000000455,-0.299479991197586,30075506.3278109
"JAM",757875.292299999971874,13055.179630000000543,5832.946606999999858,52147.346920000003593,-7222.233025000000453,-0.877466022968292,1100003.39400875
"JEY",1956.221070000000054,24.864241939999999,110.404555200000004,25.618319079999999,85.540313269999999,4.262740135192871,12515.6211376805
"JOR",8218.553604000000632,45.371414450000003,871.675782000000027,11.164088410000000,826.304367599999978,9.985440254211426,8911185.17524512
"JPN",25995770.710000000894070,364928.092699999979232,221005.260899999993853,742971.904499999945983,-143922.831800000014482,-0.531008005142212,37246810.4275691
"KAZ",3892793.962999999988824,40807.883370000003197,71223.901219999999739,20018.683750000000146,30416.017850000000180,0.769321024417877,273053625.573651
"KEN",4125013.441000000108033,402328.151899999997113,117012.533999999999651,235368.750100000004750,-285315.617900000012014,-5.990610122680664,58598375.9505265
"KGZ",874670.868699999991804,9754.728852000000188,67691.497289999999339,1453.983504999999923,57936.768439999999828,6.540019989013672,19864934.941294
"KHM",6195015.302000000141561,2787894.771000000182539,147334.298899999994319,1337093.472000000067055,-2640560.472000000067055,-25.586799621582031,18135961.9674847
"KNA",13544.157030000000304,256.355888800000002,426.330975400000000,551.117347799999948,169.975086599999997,1.184360027313232,26712.072417469
"KOR",5625291.264000000432134,171087.218800000002375,109265.714500000001863,259174.472600000008242,-61821.504300000000512,-1.020910024642944,10022923.0027173
"KWT",13.448851410000000,0E-15,51.435828909999998,0E-15,51.435828909999998,382.454010009765625,1738874.86017967
"LAO",13290214.820000000298023,1573920.607000000076368,101748.607799999997951,5686879.287999999709427,-1472171.999000000068918,-7.163509845733643,23000163.2092879
"LBN",111857.787100000001374,3716.711940000000141,6369.420630999999958,7413.315169999999853,2652.708689999999933,2.156879901885986,1023805.80349655
"LBR",6420359.281000000424683,391822.185500000021420,57761.770969999997760,2529281.885999999940395,-334060.414600000018254,-3.576100111007690,9591808.84159954
"LBY",23178.660769999998593,663.095136499999967,1498.714089999999942,182.513931899999989,835.618953099999999,3.478219985961914,161605424.764326
"LCA",49214.243419999998878,835.481461299999978,143.500029500000011,657.567058399999951,-691.981431799999996,-1.364660024642944,61442.9761937263
"LIE",8568.165813999999955,166.923825200000010,56.406860660000000,178.029241000000013,-110.516964599999994,-1.239940047264099,16203.9165204563
"LKA",3834333.927999999839813,234687.358299999992596,60079.302580000003218,533782.348899999982677,-174608.055800000001909,-3.793519973754883,6583740.26480563
"LSO",417831.727200000023004,214.897372300000001,2973.217692000000170,415.272060500000009,2758.320319999999811,0.659156978130341,3054527.49315476
"LTU",1722243.843000000109896,116688.789399999994203,241549.195999999996275,315129.405000000027940,124860.406600000002072,5.796510219573975,6501683.98731608
"LUX",96292.568060000005062,2551.994593999999779,2851.139189999999871,9845.718885000000228,299.144595600000002,0.275227010250092,258155.428985963
"LVA",2416418.947000000160187,285811.971699999994598,290490.537499999976717,681009.786500000045635,4678.565765000000283,0.138286992907524,6471010.19520577
"MAC",405.249261100000012,36.627289920000003,6.781514734000000,16.136793709999999,-29.845775190000001,-6.516359806060791,3412.86825329967
"MAF",1686.806172999999944,72.642600369999997,24.311290970000002,35.955849069999999,-48.331309400000002,-2.691950082778931,5616.77259581023
"MAR",1139155.463999999919906,39688.663950000001932,81646.017579999999725,50160.944439999999304,41957.353629999997793,3.413909912109375,41347360.4241826
"MCO",8.391696887000000,0E-15,0.335679309000000,0.055945862000000,0.335679309000000,3.973649978637695,235.490992721368
"MDA",286616.521300000022165,5915.314838999999665,36546.531880000002275,28517.311389999998937,30631.217039999999542,9.540980339050293,3390786.90024661
"MDG",11490021.650000000372529,1197277.810999999986961,173321.652399999991758,4694528.525000000372529,-1023956.158999999985099,-5.890970230102539,59144636.5499771
"MDV",3447.377276000000165,17.424831919999999,31.490080570000000,28.737353980000002,14.065248649999999,0.402606993913651,29968.4623890868
"MEX",57634185.009999997913837,2213417.467999999877065,1423109.695000000065193,3396670.714000000152737,-790307.772400000016205,-1.249609947204590,195202320.347908
"MKD",807448.566699999966659,24292.743160000001808,12568.322299999999814,46198.131809999998950,-11724.420860000000175,-1.335450053215027,2482511.06090159
"MLI",7230082.616000000387430,459693.694900000002235,203580.329499999992549,124666.772400000001653,-256113.365400000009686,-3.277440071105957,125119407.283331
"MLT",92.447794090000002,0.125121124000000,11.267135140000001,2.942780469000000,11.142014010000000,11.665100097656250,32336.7769544824
"MMR",35420448.899999998509884,2227709.325999999884516,636628.059800000046380,8391213.627000000327826,-1591081.266000000061467,-3.455909967422485,66929740.5481561
"MNE",630414.786800000001676,21984.180649999998423,9784.087793999999121,18673.693569999999454,-12200.092850000000908,-1.817999958992004,1333532.97360937
"MNG",7224955.281999999657273,342659.527599999972153,78601.214510000005248,223549.839700000011362,-264058.313100000028498,-3.389199972152710,156625024.130041
"MOZ",35317855.280000001192093,4897465.163999999873340,583187.705199999967590,2024996.165000000037253,-4314277.458999999798834,-10.213700294494629,78729703.2899764
"MRT",411.201068200000009,1.181878259000000,711.417408399999999,2.436223169000000,710.235530199999971,171.216003417968750,104117405.222657
"MSR",5345.164420000000064,71.171582229999999,249.901565400000010,334.996941400000026,178.729983199999992,3.107630014419556,10064.547354381
"MTQ",74927.601529999999912,2847.666334999999890,678.100539899999944,2431.617302000000109,-2169.565794999999980,-2.704960107803345,111798.246939348
"MUS",0E-15,0E-15,0E-15,0E-15,0E-15,"",202740.992314936
"MWI",2317735.587999999988824,263937.688699999998789,41602.095999999997730,239353.824800000002142,-222335.592700000008335,-7.881360054016113,11802870.9983038
"MYS",18799585.550000000745058,2129694.712999999988824,1004944.912999999942258,8829933.146999999880791,-1124749.800000000046566,-3.779500007629395,32938342.2012489
"MYT",27533.729500000001281,274.984788400000014,249.090310499999987,4538.964184999999816,-25.894477949999999,-0.080050401389599,39166.5900514309
"NAM",150086.776099999988219,15674.126580000000104,15114.346589999999196,280.471124999999972,-559.779989200000045,-0.337134003639221,82386293.5927024
"NCL",1391815.628000000026077,16434.190230000000156,1854.902943000000050,30234.274280000001454,-14579.287290000000212,-1.013520002365112,1882703.18789677
"NER",14909.160669999999300,966.881625900000017,5781.700434000000314,5.852834430000000,4814.818807999999990,30.316400527954102,118367073.218109
"NGA",20636992.129999998956919,2396550.385999999940395,927801.165799999958836,1181231.790999999968335,-1468749.219999999972060,-6.065499782562256,90841013.6018245
"NIC",5726682.663999999873340,974025.837199999950826,142444.867300000012619,1034769.472999999998137,-831580.969900000025518,-10.750200271606445,12821977.2309482
"NLD",488231.293300000019372,23484.650730000001204,60819.792190000000119,25410.424739999998565,37335.141459999998915,6.950910091400146,3766581.17751592
"NOR",9465432.115000000223517,621934.945100000011735,476527.283400000014808,670142.842300000018440,-145407.661699999996927,-1.351690053939819,32512296.8609833
"NPL",6718407.851999999955297,73724.831579999998212,174008.042099999991478,55029.279949999996461,100283.210500000001048,1.464599967002869,14766263.5464446
"NRU",0E-15,0E-15,0E-15,0E-15,0E-15,"",2215.10581417331
"NZL",9710144.884999999776483,543333.085300000035204,434872.959299999987707,876751.946200000005774,-108460.126000000003842,-0.974466979503632,26870943.9906242
"OMN",26829.307479999999487,18.518445690000000,1548.271523999999999,14.683576750000000,1529.753077999999960,5.694749832153320,30932513.190468
"PAK",2057786.046000000089407,38695.112419999997655,133481.217499999998836,7457.595682999999553,94786.105129999996279,4.505169868469238,87417713.75564
"PAN",4830714.273000000044703,275409.843700000026729,84108.714680000004591,367526.697800000023562,-191301.128999999986263,-3.494950056076050,7510388.08356183
"PER",74322642.459999993443489,1192383.945999999996275,430185.994499999971595,3035642.012999999802560,-762197.951899999985471,-0.970326006412506,129281649.517318
"PHL",18693542.800000000745058,472083.956000000005588,172161.427499999990687,1571875.854000000050291,-299922.528500000014901,-1.446280002593994,29585680.871832
"PLW",38848.105600000002596,220.129149000000012,135.284134399999999,632.798362500000053,-84.845014620000001,-0.213709995150566,48750.6242780218
"PNG",38971685.429999999701977,298241.882299999997485,266144.764599999994971,2063878.328999999910593,-32097.117669999999634,-0.077653400599957,46363129.5968006
"POL",9114498.453999999910593,485398.353599999973085,892077.288900000043213,975192.795700000016950,406678.935300000011921,3.845629930496216,31240006.0064748
"PRI",472238.677000000025146,12060.082389999999577,7140.682716999999684,69460.642099999997299,-4919.399669000000358,-0.888364970684052,897047.375899234
"PRK",6061637.154000000096858,213515.969199999992270,288492.682199999981094,394941.596599999989849,74976.712960000004387,1.124070048332214,12275512.8422719
"PRT",1647004.442999999970198,272646.664400000008754,168607.474799999996321,1150971.793000000063330,-104039.189499999993131,-3.388210058212280,9187803.31624075
"PRY",14232500.500000000000000,5810873.156000000424683,642486.380299999960698,883902.763700000010431,-5168386.775999999605119,-24.696899414062500,39958591.7941758
"PSE",5952.809729999999945,86.380875990000007,1697.133217999999943,13.351209190000001,1610.752341999999999,26.612800598144531,621996.141782347
"QAT",25.644110869999999,0E-15,37.963232370000000,0E-15,37.963232370000000,148.039001464843750,1162484.53095733
"REU",0E-15,0E-15,0E-15,0E-15,0E-15,"",251265.206814008
"ROU",7427728.728000000119209,105707.240000000005239,223890.804499999998370,534902.688300000037998,118183.564499999993131,1.464779973030090,23833860.1445231
"RUS",686224764.899999976158142,37396856.960000000894070,37220768.270000003278255,51623646.320000000298023,-176088.695000000006985,-0.022713899612427,1692582279.52765
"RWA",513651.316700000024866,33031.745620000001509,16061.382750000000669,47123.124020000002929,-16970.362870000000839,-2.857899904251099,2527768.54399578
"SAU",16036.471740000000864,0E-15,7598.985563999999613,0.493650037000000,7598.985563999999613,47.384101867675781,191619240.72767
"SDN",3715927.944000000134110,85308.977379999996629,216597.751099999994040,2345.334815000000162,131288.773699999990640,3.451719999313354,187212842.5786
"SEN",3891937.359999999869615,108281.940600000001723,77187.391900000002352,69440.067030000005616,-31094.548719999998866,-0.764057993888855,19688970.5213499
"SGP",16318.212999999999738,2355.764778000000206,1976.969808000000057,1613.344174999999950,-378.794970700000022,-1.867149949073792,69702.4691503164
"SJM",0E-15,0E-15,0E-15,0E-15,0E-15,"",6034333.02681666
"SLB",2450208.007999999914318,27720.268220000001747,4916.629708000000392,228080.667799999995623,-22803.638520000000426,-0.842702984809875,2853282.77259198
"SLE",3397505.859999999869615,646773.717999999993481,102136.795299999997951,1993843.215000000083819,-544636.922799999942072,-9.019969940185547,7260113.91711789
"SLV",1229320.674000000115484,36516.435599999997066,14647.391100000000733,65853.538430000000517,-21869.044509999999718,-1.642199993133545,2042274.75699852
"SMR",1051.506875000000036,7.807242700000000,19.122920260000001,3.792145819000000,11.315677559999999,1.064389944076538,6121.55607584051
"SOM",167884.921700000006240,7792.000090999999884,4188.832679000000098,1285.957762000000002,-3603.167410999999902,-2.036109924316406,63353637.3179269
"SPM",1300.052028999999948,16.419050129999999,31.722417629999999,2.651412012000000,15.303367489999999,1.160120010375977,22665.7034835693
"SRB",2877987.697000000160187,40867.456080000003567,76226.929080000001704,82743.156919999993988,35359.472999999998137,1.178020000457764,7823164.38382284
"SSD",25841911.940000001341105,801955.643200000049546,1082861.401000000070781,96714.822310000003199,280905.757299999997485,1.050480008125305,62810211.1141381
"STP",0E-15,0E-15,0E-15,0E-15,0E-15,"",100223.400050129
"SUR",13408434.640000000596046,81504.181379999994533,23723.919000000001688,154506.548399999999674,-57780.262380000000121,-0.423471987247467,14642554.9863603
"SVK",2127948.325999999884516,74716.979829999996582,35796.947610000002896,264843.122499999997672,-38920.032229999997071,-1.577299952507019,4909927.0511135
"SVN",1265908.483000000007451,14322.778019999999742,7767.609088999999585,78528.315839999995660,-6555.168931000000157,-0.482437998056412,1998091.29894533
"SWE",21241909.899999998509884,2633627.626999999862164,1671299.506999999983236,3655699.634000000078231,-962328.120499999960884,-3.495409965515137,45004727.4502651
"SWZ",568329.147499999962747,44997.175190000001749,23455.010360000000219,97777.730349999997998,-21542.164830000001530,-3.029400110244751,1738325.7977585
"SXM",1106.632086999999956,44.019683950000001,16.480214980000000,13.256766040000000,-27.539468960000001,-2.366120100021362,3800.7201659462
"SYC",1181.974881000000096,242.182171299999993,1.442033191000000,3.264646356000000,-240.740138199999990,-16.865400314331055,49120.0037973727
"SYR",113941.938899999993737,18001.944569999999658,5710.720621000000392,14379.671840000000884,-12291.223949999999604,-8.400010108947754,18691756.3191454
"TCA",1080.531944000000067,39.850790830000001,63.766709679999998,49.638031359999999,23.915918850000001,2.044059991836548,99145.1141140332
"TCD",9444707.709000000730157,1100419.114999999990687,256622.041900000011083,232177.032899999991059,-843797.072799999965355,-7.829390048980713,126996302.128724
"TGO",1985196.841000000014901,180924.831399999995483,47915.691980000003241,103808.722599999993690,-133009.139399999985471,-5.859610080718994,5699532.49109748
"THA",18845385.170000001788139,1747956.192999999970198,1842372.617000000085682,4057502.263999999966472,94416.424239999993006,0.383015990257263,51405455.9454424
"TJK",153480.169099999999162,3592.432957999999871,19712.027300000001560,76.545884079999993,16119.594339999999647,10.257499694824219,14211321.7272894
"TKM",3439.315500000000156,439.377733299999989,419.048061099999984,45.483632059999998,-20.329672219999999,-0.518061995506287,48959303.8218277
"TLS",1068266.706999999936670,12383.617039999999179,11133.807769999999437,56885.853389999996580,-1249.809277000000066,-0.109869003295898,1491547.73139282
"TTO",335960.331000000005588,14919.536690000000817,3320.427197999999862,13789.961020000000644,-11599.109490000000733,-3.180710077285767,515913.260067243
"TUN",240737.994600000005448,14967.456439999999930,10133.426840000000084,23713.923780000000988,-4834.029594999999972,-1.730029940605164,15486357.962779
"TUR",12756770.300000000745058,385030.078500000003260,473796.657799999986310,510036.268199999991339,88766.579280000005383,0.650219023227692,78070435.9480691
"TUV",0E-15,0E-15,0E-15,0E-15,0E-15,"",4172.56029991419
"TWN",2465048.939999999944121,25057.802550000000338,29314.590560000000551,63675.998010000002978,4256.788016999999854,0.166685998439789,3640633.59662236
"TZA",27968218.850000001490116,4374164.769000000320375,557235.611599999945611,1437826.817000000039116,-3816929.157999999821186,-11.299300193786621,94057605.4329342
"UGA",2947708.359000000171363,1238023.462000000057742,185026.632199999992736,313915.960399999981746,-1052996.830000000074506,-23.401800155639648,24144006.820544
"UKR",9065233.101999999955297,499821.453800000017509,926367.217100000008941,895296.271199999959208,426545.763299999991432,4.077720165252686,60136264.3698009
"UMI",60.815479640000000,6.359419885000000,4.458704871000000,91.588404969999999,-1.900715015000000,-1.197199940681458,4726.82584069425
"URY",659122.222900000051595,112760.420100000003004,654493.503799999947660,230107.580099999991944,541733.083699999959208,54.065700531005859,17746563.3947635
